Namespace(batch_size=32, cont=False, dataset='modelnet40', dropout=0.5, epochs=250, eval=False, exp_name='spct_train', load_pretrain=False, lr=0.0001, model_path='', momentum=0.9, no_cuda=False, num_points=1024, pre_train=False, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.141729, train acc: 0.423453, train avg acc: 0.247985
Test 0, loss: 2.397306, test acc: 0.598460, test avg acc: 0.454907
Train 1, loss: 1.488164, train acc: 0.565961, train avg acc: 0.406818
Test 1, loss: 2.488415, test acc: 0.663290, test avg acc: 0.523267
Train 2, loss: 1.308791, train acc: 0.608306, train avg acc: 0.454785
Test 2, loss: 2.505632, test acc: 0.695705, test avg acc: 0.561953
Train 3, loss: 1.221216, train acc: 0.635077, train avg acc: 0.487278
Test 3, loss: 2.444281, test acc: 0.735008, test avg acc: 0.611703
Train 4, loss: 1.187746, train acc: 0.641694, train avg acc: 0.495617
Test 4, loss: 2.490515, test acc: 0.738250, test avg acc: 0.611017
Train 5, loss: 1.205782, train acc: 0.636910, train avg acc: 0.492996
Test 5, loss: 2.615559, test acc: 0.693679, test avg acc: 0.579279
Train 6, loss: 1.198739, train acc: 0.638538, train avg acc: 0.491707
Test 6, loss: 2.617836, test acc: 0.711102, test avg acc: 0.595709
Train 7, loss: 1.191611, train acc: 0.634161, train avg acc: 0.492681
Test 7, loss: 2.613422, test acc: 0.672609, test avg acc: 0.580331
Train 8, loss: 1.197079, train acc: 0.635281, train avg acc: 0.494662
Test 8, loss: 2.532012, test acc: 0.748379, test avg acc: 0.627047
Train 9, loss: 1.117029, train acc: 0.662765, train avg acc: 0.523138
Test 9, loss: 2.514625, test acc: 0.760535, test avg acc: 0.638977
Train 10, loss: 1.036856, train acc: 0.680476, train avg acc: 0.544730
Test 10, loss: 2.524331, test acc: 0.788088, test avg acc: 0.688087
Train 11, loss: 0.995723, train acc: 0.689129, train avg acc: 0.552080
Test 11, loss: 2.539109, test acc: 0.796191, test avg acc: 0.670331
Train 12, loss: 0.987658, train acc: 0.698595, train avg acc: 0.568842
Test 12, loss: 2.570280, test acc: 0.799028, test avg acc: 0.697221
Train 13, loss: 0.971534, train acc: 0.700936, train avg acc: 0.571960
Test 13, loss: 2.511524, test acc: 0.776337, test avg acc: 0.665680
Train 14, loss: 0.976190, train acc: 0.705822, train avg acc: 0.579309
Test 14, loss: 2.591245, test acc: 0.754457, test avg acc: 0.659471
Train 15, loss: 0.960565, train acc: 0.700631, train avg acc: 0.567531
Test 15, loss: 2.629891, test acc: 0.773501, test avg acc: 0.657703
Train 16, loss: 0.963085, train acc: 0.703074, train avg acc: 0.571419
Test 16, loss: 2.585841, test acc: 0.799433, test avg acc: 0.692285
Train 17, loss: 0.956922, train acc: 0.705822, train avg acc: 0.575183
Test 17, loss: 2.671464, test acc: 0.760940, test avg acc: 0.646477
Train 18, loss: 0.959856, train acc: 0.704906, train avg acc: 0.579793
Test 18, loss: 2.527268, test acc: 0.769044, test avg acc: 0.668157
Train 19, loss: 0.932029, train acc: 0.712846, train avg acc: 0.582738
Test 19, loss: 2.643885, test acc: 0.784846, test avg acc: 0.676919
Train 20, loss: 0.899687, train acc: 0.721498, train avg acc: 0.596488
Test 20, loss: 2.529934, test acc: 0.801053, test avg acc: 0.715203
Train 21, loss: 0.877511, train acc: 0.727504, train avg acc: 0.603247
Test 21, loss: 2.547611, test acc: 0.810778, test avg acc: 0.708262
Train 22, loss: 0.867300, train acc: 0.732899, train avg acc: 0.607822
Test 22, loss: 2.713828, test acc: 0.809157, test avg acc: 0.694576
Train 23, loss: 0.840124, train acc: 0.737174, train avg acc: 0.613915
Test 23, loss: 2.782323, test acc: 0.787277, test avg acc: 0.686692
Train 24, loss: 0.842629, train acc: 0.735444, train avg acc: 0.613637
Test 24, loss: 2.708820, test acc: 0.801864, test avg acc: 0.710535
Train 25, loss: 0.846292, train acc: 0.737989, train avg acc: 0.621469
Test 25, loss: 2.645739, test acc: 0.811183, test avg acc: 0.735169
Train 26, loss: 0.831637, train acc: 0.736971, train avg acc: 0.621416
Test 26, loss: 2.702065, test acc: 0.812399, test avg acc: 0.731785
Train 27, loss: 0.822594, train acc: 0.749593, train avg acc: 0.639046
Test 27, loss: 2.607683, test acc: 0.809157, test avg acc: 0.712366
Train 28, loss: 0.811646, train acc: 0.748168, train avg acc: 0.634470
Test 28, loss: 2.647278, test acc: 0.793355, test avg acc: 0.702948
Train 29, loss: 0.802978, train acc: 0.751730, train avg acc: 0.637132
Test 29, loss: 2.628791, test acc: 0.814425, test avg acc: 0.723570
Train 30, loss: 0.803632, train acc: 0.748982, train avg acc: 0.637708
Test 30, loss: 2.670889, test acc: 0.811994, test avg acc: 0.712331
Train 31, loss: 0.810337, train acc: 0.749186, train avg acc: 0.636340
Test 31, loss: 2.641149, test acc: 0.821718, test avg acc: 0.726884
Train 32, loss: 0.819494, train acc: 0.741042, train avg acc: 0.630033
Test 32, loss: 2.768248, test acc: 0.789303, test avg acc: 0.699878
Train 33, loss: 0.847533, train acc: 0.735138, train avg acc: 0.617589
Test 33, loss: 2.675183, test acc: 0.789708, test avg acc: 0.703424
Train 34, loss: 0.789153, train acc: 0.753664, train avg acc: 0.640176
Test 34, loss: 2.637267, test acc: 0.831442, test avg acc: 0.736657
Train 35, loss: 0.776941, train acc: 0.756515, train avg acc: 0.646725
Test 35, loss: 2.814053, test acc: 0.772690, test avg acc: 0.692820
Train 36, loss: 0.795206, train acc: 0.751527, train avg acc: 0.630804
Test 36, loss: 2.725870, test acc: 0.827391, test avg acc: 0.741686
Train 37, loss: 0.774156, train acc: 0.758449, train avg acc: 0.650407
Test 37, loss: 2.667177, test acc: 0.801459, test avg acc: 0.718733
Train 38, loss: 0.753601, train acc: 0.767712, train avg acc: 0.660862
Test 38, loss: 2.673329, test acc: 0.832253, test avg acc: 0.745355
Train 39, loss: 0.764050, train acc: 0.762317, train avg acc: 0.651870
Test 39, loss: 2.731922, test acc: 0.815235, test avg acc: 0.748709
Train 40, loss: 0.734478, train acc: 0.770867, train avg acc: 0.663330
Test 40, loss: 2.702564, test acc: 0.822934, test avg acc: 0.754965
Train 41, loss: 0.739514, train acc: 0.773616, train avg acc: 0.667801
Test 41, loss: 2.758702, test acc: 0.784846, test avg acc: 0.709453
Train 42, loss: 0.721081, train acc: 0.771987, train avg acc: 0.666047
Test 42, loss: 2.782635, test acc: 0.813614, test avg acc: 0.734576
Train 43, loss: 0.732932, train acc: 0.776873, train avg acc: 0.671535
Test 43, loss: 2.726487, test acc: 0.842788, test avg acc: 0.756907
Train 44, loss: 0.726335, train acc: 0.772903, train avg acc: 0.670726
Test 44, loss: 2.855391, test acc: 0.803890, test avg acc: 0.714198
Train 45, loss: 0.726391, train acc: 0.775346, train avg acc: 0.669514
Test 45, loss: 2.661758, test acc: 0.829011, test avg acc: 0.731355
Train 46, loss: 0.714039, train acc: 0.774023, train avg acc: 0.667576
Test 46, loss: 2.705956, test acc: 0.832658, test avg acc: 0.764634
Train 47, loss: 0.715493, train acc: 0.772700, train avg acc: 0.671860
Test 47, loss: 2.724812, test acc: 0.813614, test avg acc: 0.714203
Train 48, loss: 0.708512, train acc: 0.776975, train avg acc: 0.671492
Test 48, loss: 2.644482, test acc: 0.831442, test avg acc: 0.770099
Train 49, loss: 0.706308, train acc: 0.779011, train avg acc: 0.678687
Test 49, loss: 2.753053, test acc: 0.812399, test avg acc: 0.738395
Train 50, loss: 0.702050, train acc: 0.781352, train avg acc: 0.678138
Test 50, loss: 2.767662, test acc: 0.839951, test avg acc: 0.771645
Train 51, loss: 0.685694, train acc: 0.787866, train avg acc: 0.689067
Test 51, loss: 2.691813, test acc: 0.850486, test avg acc: 0.778994
Train 52, loss: 0.701639, train acc: 0.777586, train avg acc: 0.675193
Test 52, loss: 2.756846, test acc: 0.814019, test avg acc: 0.750174
Train 53, loss: 0.677701, train acc: 0.785627, train avg acc: 0.684709
Test 53, loss: 2.733180, test acc: 0.846434, test avg acc: 0.777686
Train 54, loss: 0.685737, train acc: 0.790004, train avg acc: 0.693310
Test 54, loss: 2.738302, test acc: 0.795786, test avg acc: 0.714936
Train 55, loss: 0.677367, train acc: 0.787256, train avg acc: 0.687629
Test 55, loss: 2.762870, test acc: 0.839951, test avg acc: 0.759227
Train 56, loss: 0.675847, train acc: 0.788172, train avg acc: 0.684865
Test 56, loss: 2.753626, test acc: 0.856159, test avg acc: 0.791506
Train 57, loss: 0.674635, train acc: 0.793261, train avg acc: 0.692200
Test 57, loss: 2.713083, test acc: 0.839141, test avg acc: 0.749767
Train 58, loss: 0.673172, train acc: 0.789088, train avg acc: 0.688976
Test 58, loss: 2.750313, test acc: 0.831037, test avg acc: 0.771110
Train 59, loss: 0.669036, train acc: 0.789495, train avg acc: 0.690093
Test 59, loss: 2.696047, test acc: 0.852107, test avg acc: 0.785558
Train 60, loss: 0.650143, train acc: 0.795297, train avg acc: 0.698250
Test 60, loss: 2.674919, test acc: 0.859806, test avg acc: 0.787843
Train 61, loss: 0.666088, train acc: 0.789800, train avg acc: 0.691356
Test 61, loss: 2.673596, test acc: 0.839546, test avg acc: 0.770890
Train 62, loss: 0.655780, train acc: 0.797638, train avg acc: 0.699445
Test 62, loss: 2.880268, test acc: 0.829822, test avg acc: 0.761442
Train 63, loss: 0.648546, train acc: 0.795297, train avg acc: 0.697942
Test 63, loss: 2.719953, test acc: 0.860211, test avg acc: 0.781802
Train 64, loss: 0.654115, train acc: 0.793872, train avg acc: 0.696317
Test 64, loss: 2.783844, test acc: 0.833874, test avg acc: 0.760262
Train 65, loss: 0.642783, train acc: 0.795297, train avg acc: 0.695492
Test 65, loss: 2.829243, test acc: 0.846029, test avg acc: 0.763227
Train 66, loss: 0.644094, train acc: 0.797028, train avg acc: 0.701655
Test 66, loss: 2.772803, test acc: 0.829011, test avg acc: 0.762314
Train 67, loss: 0.648138, train acc: 0.796213, train avg acc: 0.696187
Test 67, loss: 2.736601, test acc: 0.844408, test avg acc: 0.765442
Train 68, loss: 0.633631, train acc: 0.800794, train avg acc: 0.705805
